Provider_Name,County,State,Ownership Type,Federal Provider Number
KENSINGTON HEALTHCARE  CENTER,Montgomery,MD,For profit,215043
LAYHILL NURSING AND REHABILITATION CENTER,Montgomery,MD,For profit,215168
MANOR  CARE HEALTH SERVICES  -SILVER SPRING,Montgomery,MD,Non profit,215224
MANOR CARE HEALTH SERVICES - BETHESDA,Montgomery,MD,For profit,215095
MANOR CARE HEALTH SERVICES - CHEVY CHASE,Montgomery,MD,Non profit,215029
MANOR CARE HEALTH SERVICES - POTOMAC,Montgomery,MD,Non profit,215171
MANOR CARE HEALTH SERVICES - WHEATON,Montgomery,MD,For profit,215048
MAPLEWOOD PARK PLACE,Montgomery,MD,For profit,215287
MONTGOMERY VILLAGE HEALTH CARE CENTER,Montgomery,MD,For profit,215272
OAK MANOR CENTER FOR REHABILITATION AND HEALTHCARE,Montgomery,MD,For profit,215315
POTOMAC VALLEY REHABILITATION AND HEALTHCARE,Montgomery,MD,For profit,215026
"REGENCY CARE OF SILVER SPRING, LLC",Montgomery,MD,For profit,215060
ROCKVILLE NURSING HOME,Montgomery,MD,Non profit,215107
SHADY GROVE NURSING AND REHABILITATION CENTER,Montgomery,MD,For profit,215164
SLIGO CREEK CENTER,Montgomery,MD,For profit,215327
THE VILLAGE AT ROCKVILLE,Montgomery,MD,Non profit,215125
WILSON HEALTH CARE CENTER,Montgomery,MD,Non profit,215099
ADELPHI NURSING AND REHABILITATION CENTER,Prince Georges,MD,For profit,215064
AUTUMN LAKE HEALTHCARE AT CHERRY LANE,Prince Georges,MD,For profit,215177
BRADFORD OAKS CENTER,Prince Georges,MD,For profit,215165
CADIA HEALTHCARE - HYATTSVILLE,Prince Georges,MD,For profit,215145
CLINTON HEALTHCARE  CENTER,Prince Georges,MD,For profit,215231
COLLINGTON EPISCOPAL LIFE CARE,Prince Georges,MD,Non profit,215180
CRESCENT CITIES NURSING & REHABILITATION CENTER,Prince Georges,MD,For profit,215323
DOCTORS COMMUNITY REHABILITATION AND PATIENT CARE,Prince Georges,MD,For profit,215108
FORESTVILLE HEALTHCARE CENTER,Prince Georges,MD,For profit,215020
FT WASHINGTON HEALTH CENTER,Prince Georges,MD,For profit,215146
FUTURE CARE CAPITAL REGION,Prince Georges,MD,For profit,215364
FUTURE CARE PINEVIEW,Prince Georges,MD,For profit,215328
HILLHAVEN NURSING AND REHABILITATION CENTER,Prince Georges,MD,For profit,215212
LARGO NURSING AND REHABILIATION CENTER,Prince Georges,MD,Non profit,215331
LARKIN CHASE CENTER,Prince Georges,MD,For profit,215264
PATUXENT RIVER HEALTH AND REHABILITATION CENTER,Prince Georges,MD,For profit,215141
SACRED HEART HOME INC,Prince Georges,MD,Non profit,21E009
"VILLA ROSA NURSING AND REHABILITATION, LLC",Prince Georges,MD,For profit,215350
CORSICA HILLS CENTER,Queen Annes,MD,For profit,215114
CHARLOTTE HALL VETERANS HOME,St. Marys,MD,For profit,215161
CHESAPEAKE SHORES,St. Marys,MD,For profit,215142
STERLING CARE AT SOUTH MOUNTAIN,Washington,MD,For profit,215144
ANCHORAGE HEALTHCARE  CENTER,Wicomico,MD,For profit,215339
SALISBURY REHABILITATION AND NURSING CENTER,Wicomico,MD,For profit,215067
AUTUMN LAKE HEALTHCARE AT HARTLEY HALL,Worcester,MD,Non profit,215134
BERLIN NURSING AND REHABILITATION CENTER,Worcester,MD,For profit,215126
MAINE VETERANS HOME - SCARBOROUGH,Cumberland,ME,Non profit,205127
"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",Kennebec,ME,For profit,205077
THE COMMONS AT TALL PINES,Waldo,ME,For profit,205140
SEAL ROCK HEALTH CARE,York,ME,For profit,205103
MEDILODGE OF ALPENA,Alpena,MI,For profit,235280
THORNAPPLE MANOR,Barry,MI,Government,235009
CARETEL INNS OF TRI-CITIES,Bay,MI,For profit,235635
HEARTLAND HEALTH CARE CENTER-HAMPTON,Bay,MI,Non profit,235411
HALLMARK LIVING BENTON HARBOR,Berrien,MI,For profit,235544
PINE RIDGE - A REHABILITATION AND NURSING CENTER,Berrien,MI,Non profit,235164
RIVERIDGE REHABILITATION & HEALTHCARE CENTER,Berrien,MI,For profit,235598
WEST WOODS OF NILES,Berrien,MI,For profit,235594
ADVANTAGE LIVING CENTER - BATTLE CREEK,Calhoun,MI,For profit,235536
CALHOUN COUNTY MEDICAL CARE FACILITY,Calhoun,MI,Government,235237
LAURELS OF BEDFORD (THE),Calhoun,MI,For profit,235299
GRAYLING NURSING & REHAB COMMUNITY,Crawford,MI,For profit,235432
MUNSON HEALTHCARE CRAWFORD CONTINUING CARE CENTER,Crawford,MI,For profit,235201
REGENCY AT LANSING WEST,Eaton,MI,For profit,235706
FENTON HEALTHCARE,Genesee,MI,For profit,235482
HEARTLAND HEALTH CARE CENTER-BRIARWOOD,Genesee,MI,Non profit,235184
KITH HAVEN,Genesee,MI,For profit,235343
MAPLE WOODS MANOR,Genesee,MI,For profit,235518
MEDILODGE OF GRAND BLANC,Genesee,MI,For profit,235226
REGENCY AT GRAND BLANC,Genesee,MI,For profit,235666
WELLBRIDGE OF FENTON,Genesee,MI,For profit,235715
WILLOWBROOK MANOR,Genesee,MI,For profit,235550
MEDILODGE OF GTC,Grand Traverse,MI,For profit,235243
RIVERSIDE HEALTHCARE CENTER,Gratiot,MI,For profit,235324
HILLSDALE CO MEDICAL CARE FACI,Hillsdale,MI,Government,235197
COURTNEY MANOR,Huron,MI,For profit,235456
BURCHAM HILLS RETIREMENT CTR,Ingham,MI,Non profit,235236
INGHAM COUNTY MEDICAL CARE FAC,Ingham,MI,Government,235015
MEDILODGE OF OKEMOS,Ingham,MI,For profit,235647
LAKEVIEW MANOR HEALTHCARE CENTER,Iosco,MI,For profit,235515
ISABELLA CO MEDICAL CARE FACIL,Isabella,MI,Government,235037
RIDGECREST HEALTH CAMPUS,Jackson,MI,For profit,235538
MEDILODGE OF KALAMAZOO,Kalamazoo,MI,For profit,235282
PLAINWELL PINES NURSING AND REHABILITATION COMMUNI,Kalamazoo,MI,For profit,235637
CLARK RETIREMENT COMMUNITY,Kent,MI,Non profit,235401
HEALTHBRIDGE POST-ACUTE REHABILITATION,Kent,MI,For profit,235723
LAURELS OF KENT (THE),Kent,MI,For profit,235253
MISSION POINT NRSG AND REHAB CTR OF CEDAR SPRINGS,Kent,MI,For profit,235294
SAMARITAS SENIOR LIVING GRAND RAPIDS LODGE,Kent,MI,Non profit,235458
SKLD BELTLINE,Kent,MI,For profit,235103
ST ANNS HOME,Kent,MI,Non profit,235643
LAPEER COUNTY MEDICAL CARE FAC,Lapeer,MI,Government,235058
MCLAREN LAPEER REGION,Lapeer,MI,Non profit,235577
THE VILLAGES OF LAPEER NURSING & REHABILITATION,Lapeer,MI,For profit,235654
CARETEL INNS OF BRIGHTON,Livingston,MI,For profit,235615
MEDILODGE OF LIVINGSTON,Livingston,MI,For profit,235330
WELLBRIDGE OF BRIGHTON,Livingston,MI,For profit,235668
ADVANTAGE LIVING CENTER - ROSEVILLE,Macomb,MI,For profit,235491
ADVANTAGE LIVING CENTER - WARREN,Macomb,MI,For profit,235509
AUTUMN WOODS RESIDENTIAL HLTH,Macomb,MI,For profit,235427
CHURCH OF CHRIST CARE CENTER,Macomb,MI,Non profit,235619
CLINTON AIRE HEALTHCARE CENTER,Macomb,MI,For profit,235405
"FATHER MURRAY, A VILLA CENTER",Macomb,MI,For profit,235298
HEARTLAND HEALTH CARE CENTER - STERLING HEIGHTS,Macomb,MI,Non profit,235665
"LAKEPOINTE SENIOR CARE AND REHAB CENTER, L L C",Macomb,MI,For profit,235547
LAKESIDE MANOR NURSING AND REHABILITATION CENTER,Macomb,MI,For profit,235719
MARTHA T BERRY MCF,Macomb,MI,Government,235155
MEDILODGE OF SHORELINE,Macomb,MI,For profit,235473
MEDILODGE OF STERLING HEIGHTS,Macomb,MI,For profit,235263
POMEROY LIVING STERLING SKILLED REHABILITATION,Macomb,MI,For profit,235484
REGENCY AT SHELBY TOWNSHIP,Macomb,MI,For profit,235710
REGENCY AT ST CLAIR SHORES,Macomb,MI,For profit,235319
REGENCY MANOR NURSING & REHABILITATION CENTER,Macomb,MI,For profit,235617
SANCTUARY AT FRASER VILLA,Macomb,MI,Non profit,235453
SHELBY CROSSING HEALTH CAMPUS,Macomb,MI,For profit,235662
SHELBY HEALTH AND REHABILITATION CENTER,Macomb,MI,For profit,235506
SHOREPOINTE NURSING CENTER,Macomb,MI,For profit,235443
ST ANTHONY HEALTHCARE CENTER,Macomb,MI,For profit,235408
THE VILLA AT CITY CENTER,Macomb,MI,For profit,235325
THE VILLAGE OF EAST HARBOR,Macomb,MI,Non profit,235528
"WELLBRIDGE OF ROMEO, LLC",Macomb,MI,For profit,235704
NORLITE NURSING CENTER,Marquette,MI,For profit,235367
BRITTANY MANOR,Midland,MI,For profit,235245
FOUNTAIN VIEW OF MONROE,Monroe,MI,For profit,235225
MISSION POINT NURSING AND REHAB CTR OF GREENVILLE,Montcalm,MI,For profit,235290
ROOSEVELT PARK NURSING AND REHABILITATION COMMUNIT,Muskegon,MI,For profit,235549
SANCTUARY AT THE PARK,Muskegon,MI,Non profit,235431
SKLD MUSKEGON,Muskegon,MI,For profit,235004
TRANSITIONAL HEALTH SERVICES OF FREMONT,Newaygo,MI,For profit,235176
BEAUMONT REHAB & CONTINUING CARE FARMINGTON HILLS,Oakland,MI,Non profit,235462
BELLBROOK,Oakland,MI,Non profit,235470
BLOOMFIELD ORCHARD VILLA,Oakland,MI,For profit,235562
CAMBRIDGE NORTH HEALTHCARE CENTER,Oakland,MI,For profit,235214
CAMBRIDGE SOUTH HEALTHCARE CTR,Oakland,MI,For profit,235664
CANTERBURY ON THE LAKE,Oakland,MI,Non profit,235555
EVERGREEN HEALTH AND REHABILITATION CENTER,Oakland,MI,For profit,235582
FOX RUN VILLAGE,Oakland,MI,Non profit,235634
HEARTLAND HEALTH CARE CENTER-OAKLAND,Oakland,MI,Non profit,235626
LAHSER HILLS CARE CENTRE,Oakland,MI,For profit,235320
LAKE ORION NURSING CENTER,Oakland,MI,Non profit,235481
LAKELAND CENTER (THE),Oakland,MI,For profit,235589
LOURDES REHABILITATION AND HEALTHCARE CENTER,Oakland,MI,Non profit,235252
MARVIN & BETTY DANTO FAMILY HEALTH CARE CENTER,Oakland,MI,Non profit,235288
MEDILODGE OF FARMINGTON,Oakland,MI,For profit,235293
"MEDILODGE OF ROCHESTER HILLS, INC",Oakland,MI,For profit,235036
MEDILODGE OF SOUTHFIELD,Oakland,MI,For profit,235296
MISSION POINT NURSING AND REHAB CENTER OF HOLLY,Oakland,MI,For profit,235722
NOTTING HILL OF WEST BLOOMFIELD,Oakland,MI,For profit,235663
OAKRIDGE MANOR NURSING & REHAB CENTER LLC,Oakland,MI,For profit,235322
POMEROY LIVING ROCHESTER SKILLED REHABILITATION,Oakland,MI,For profit,235477
SKLD BLOOMFIELD HILLS,Oakland,MI,For profit,235217
SKLD WEST BLOOMFIELD,Oakland,MI,For profit,235487
THE MANOR OF FARMINGTON HILLS,Oakland,MI,For profit,235508
THE MANOR OF NOVI,Oakland,MI,For profit,235529
THE VILLA AT GREEN LAKE ESTATES,Oakland,MI,For profit,235489
THE VILLA AT SILVERBELL ESTATES,Oakland,MI,For profit,235396
WELLBRIDGE OF CLARKSTON,Oakland,MI,For profit,235726
"WELLBRIDGE OF NOVI, LLC",Oakland,MI,For profit,235702
WEST BLOOMFIELD HEALTH AND REHABILITATION CENTER,Oakland,MI,For profit,235488
WOODWARD HILLS HEALTH AND REHABILITATION CTR,Oakland,MI,For profit,235556
MEDILODGE OF GAYLORD,Otsego,MI,For profit,235350
"INN AT FREEDOM VILLAGE, THE",Ottawa,MI,For profit,235548
MEDILODGE AT THE SHORE,Ottawa,MI,For profit,235356
MEDILODGE OF ROGERS CITY,Presque Isle,MI,For profit,235553
CHESANING NURSING AND REHABILITATION CENTER,Saginaw,MI,For profit,235641
GREAT LAKES REHAB CENTER,Saginaw,MI,For profit,235442
HOYT NURSING & REHAB CENTRE,Saginaw,MI,For profit,235056
MEDILODGE OF FRANKENMUTH,Saginaw,MI,For profit,235175
SAMARITAS SENIOR LIVING SAGINAW,Saginaw,MI,Non profit,235250
WELLSPRING LUTHERAN SERVICES,Saginaw,MI,Non profit,235269
"DURAND SENIOR CARE AND REHAB CENTER, L L C",Shiawassee,MI,For profit,235123
PLEASANT VIEW SHIAWASSEE COUNTY MED CARE FAC,Shiawassee,MI,Government,235067
MEDILODGE OF PORT HURON,St. Clair,MI,For profit,235421
MEDILODGE OF ST CLAIR,St. Clair,MI,For profit,235370
"MEDILODGE OF YALE, INC",St. Clair,MI,For profit,235371
REGENCY ON THE LAKE - FORT GRATIOT,St. Clair,MI,For profit,235621
MEDILODGE OF CASS CITY,Tuscola,MI,For profit,235286
TUSCOLA COUNTY MEDICAL CARE FACILITY,Tuscola,MI,Government,235089
CARE AND REHABILITATION CENTER AT GLACIER HILLS,Washtenaw,MI,Non profit,235223
CHELSEA RETIREMENT COMMUNITY,Washtenaw,MI,Non profit,235021
HEARTLAND HEALTH CARE CENTER-ANN ARBOR,Washtenaw,MI,Non profit,235580
REGENCY AT BLUFFS PARK,Washtenaw,MI,For profit,235658
REGENCY AT WHITMORE LAKE,Washtenaw,MI,For profit,235545
THE VILLA AT PARKRIDGE,Washtenaw,MI,For profit,235503
ADVANTAGE LIVING CENTER - HARPER WOODS,Wayne,MI,For profit,235480
ADVANTAGE LIVING CENTER - NORTHWEST,Wayne,MI,For profit,235539
ADVANTAGE LIVING CENTER - REDFORD,Wayne,MI,For profit,235014
ADVANTAGE LIVING CENTER - SAMARITAN,Wayne,MI,For profit,235632
ADVANTAGE LIVING CENTER - SOUTHGATE,Wayne,MI,For profit,235266
ADVANTAGE LIVING CENTER - WAYNE,Wayne,MI,For profit,235521
AERIUS HEALTH CENTER,Wayne,MI,For profit,235725
"AMBASSADOR, A VILLA CENTER",Wayne,MI,For profit,235102
APPLEWOOD NURSING CENTER INC,Wayne,MI,For profit,235375
BEACONSHIRE NURSING CENTRE,Wayne,MI,For profit,235475
BEAUMONT REHABILITATION & CONTINUING CARE DEARBORN,Wayne,MI,Non profit,235502
BELLE FOUNTAIN NURSING & REHABILITATION CENTER,Wayne,MI,For profit,235376
"BOULEVARD MANOR, LLC",Wayne,MI,For profit,235242
"BOULEVARD TEMPLE CARE CENTER, LLC",Wayne,MI,For profit,235498
CHERRY HILL FOR NURSING AND REHABILITATION,Wayne,MI,For profit,235228
FAIRLANE SENIOR CARE AND REHAB CENTER,Wayne,MI,For profit,235445
FOUNTAIN BLEU HEALTH AND REHABILITATION CENTER,Wayne,MI,For profit,235587
FOUR CHAPLAINS NRSG CARE CTR,Wayne,MI,For profit,235467
FOUR SEASONS NURSING CENTER OF WESTLAND,Wayne,MI,For profit,235578
HARTFORD NURSING & REHABILITATION CENTER,Wayne,MI,For profit,235177
HEARTLAND HEALTH CARE CENTER - GROSSE POINTE WOODS,Wayne,MI,Non profit,235109
HEARTLAND HEALTH CARE CENTER-ALLEN PARK,Wayne,MI,Non profit,235439
HEARTLAND HEALTH CARE CENTER-CANTON,Wayne,MI,Non profit,235618
HEARTLAND HEALTH CARE CENTER-DEARBORN HEIGHTS,Wayne,MI,Non profit,235428
HEARTLAND HEALTH CARE CENTER-LIVONIA,Wayne,MI,Non profit,235057
"HENRY FORD VILLAGE, INC",Wayne,MI,Non profit,235593
HERITAGE MANOR NURSING AND REHAB CENTER,Wayne,MI,For profit,235234
"IMPERIAL, A VILLA CENTER",Wayne,MI,For profit,235514
MARYCREST MANOR,Wayne,MI,Non profit,235120
MARYWOOD NURSING CARE CENTER,Wayne,MI,Non profit,235530
MEDILODGE OF TAYLOR,Wayne,MI,For profit,235300
OAKPOINTE SENIOR CARE AND REHAB CENTER,Wayne,MI,For profit,235207
OMNI CONTINUING CARE,Wayne,MI,For profit,235500
QUALICARE NURSING HOME,Wayne,MI,For profit,235622
REGENCY AT CANTON,Wayne,MI,For profit,235657
REGENCY AT CHENE,Wayne,MI,For profit,235422
REGENCY AT LIVONIA,Wayne,MI,For profit,235479
REGENCY AT WESTLAND,Wayne,MI,For profit,235655
REGENCY HEIGHTS-DETROIT,Wayne,MI,For profit,235452
"REGENCY, A VILLA CENTER",Wayne,MI,For profit,235333
RIVERGATE HEALTH CARE CENTER,Wayne,MI,For profit,235297
RIVERGATE TERRACE,Wayne,MI,For profit,235516
RIVERVIEW HEALTH & REHAB CENTER,Wayne,MI,For profit,235659
RIVERVIEW HEALTH AND REHAB CENTER NORTH,Wayne,MI,For profit,235476
SHEFFIELD MANOR NURSING & REHAB CENTER,Wayne,MI,For profit,235492
SKLD LIVONIA,Wayne,MI,For profit,235365
SKLD PLYMOUTH,Wayne,MI,For profit,235351
ST JAMES NURSING CENTER,Wayne,MI,For profit,235527
"ST JOSEPH'S, A VILLA CENTER",Wayne,MI,For profit,235383
THE BAY AT CRANBROOK HEALTH & REHABILITATION CTR,Wayne,MI,For profit,235372
THE BAY AT ELMWOOD HEALTH & REHABILITATION CENTER,Wayne,MI,For profit,235454
THE BAY AT WOODWARD HEALTH & REHABILITATION CENTER,Wayne,MI,For profit,235468
THE LODGE AT TAYLOR,Wayne,MI,For profit,235541
THE VILLA AT GREAT LAKES CROSSING,Wayne,MI,For profit,235402
THE VILLA AT THE PARK,Wayne,MI,For profit,235463
WEST OAKS SENIOR CARE & REHAB CENTER,Wayne,MI,For profit,235374
"WESTLAND, A VILLA CENTER",Wayne,MI,For profit,235332
ANOKA REHABILITATION AND LIVING CENTER,Anoka,MN,Non profit,245205
CAMILIA ROSE CARE CENTER LLC,Anoka,MN,For profit,245353
CREST VIEW LUTHERAN HOME,Anoka,MN,Non profit,245018
ST ANTHONY HEALTH & REHABILITATION,Anoka,MN,For profit,245267
THE ESTATES AT TWIN RIVERS LLC,Anoka,MN,For profit,245298
GOOD SHEPHERD LUTHERAN HOME,Benton,MN,Non profit,245269
ST JOHN LUTHERAN HOME,Brown,MN,Non profit,245407
CLARA CITY CARE CENTER,Chippewa,MN,Government,245573
EVENTIDE LUTHERAN HOME,Clay,MN,Non profit,245461
MOORHEAD REHABILITATION & HEALTHCARE CENTER,Clay,MN,For profit,245052
GOOD SAMARITAN SOCIETY - WINDOM,Cottonwood,MN,Non profit,245558
SOUTHVIEW ACRES HEALTHCARE CENTER,Dakota,MN,For profit,245189
WOODLYN HEIGHTS HEALTHCARE CENTER,Dakota,MN,For profit,245320
THE GARDENS AT CANNON FALLS,Goodhue,MN,For profit,245304
AUGUSTANA CHAPEL VIEW CARE CENTER,Hennepin,MN,Non profit,245493
AURORA ON FRANCE,Hennepin,MN,For profit,245634
BENEDICTINE HEALTH CENTER OF MINNEAPOLIS,Hennepin,MN,Non profit,245266
BROOKVIEW A VILLA CENTER,Hennepin,MN,For profit,245186
BYWOOD EAST HEALTH CARE,Hennepin,MN,For profit,24E185
CASTLE RIDGE CARE CENTER,Hennepin,MN,Non profit,245312
CATHOLIC ELDERCARE ON MAIN,Hennepin,MN,Non profit,245439
CENTENNIAL GARDENS FOR NURSING & REHABILITATION,Hennepin,MN,For profit,245289
COVENANT LIVING OF GOLDEN VALLEY CARE & REHAB CTR,Hennepin,MN,Non profit,245322
EBENEZER CARE CENTER,Hennepin,MN,Non profit,245587
EDENBROOK OF EDINA,Hennepin,MN,Non profit,245275
FOLKESTONE,Hennepin,MN,Non profit,245621
FRIENDSHIP VILLAGE OF BLOOMINGTON,Hennepin,MN,Non profit,245229
GOOD SAMARITAN AMBASSADOR,Hennepin,MN,Non profit,245149
GOOD SAMARITAN SOCIETY - SPECIALTY CARE COMMUNITY,Hennepin,MN,Non profit,245279
HOPKINS HEALTH SERVICES,Hennepin,MN,For profit,245293
JONES HARRISON RESIDENCE,Hennepin,MN,Non profit,245460
LAKE MINNETONKA SHORES,Hennepin,MN,Non profit,245210
MARTIN LUTHER CARE CENTER,Hennepin,MN,For profit,245272
MINNESOTA MASONIC HOME CARE CENTER,Hennepin,MN,Non profit,245343
MISSION NURSING HOME,Hennepin,MN,Non profit,245546
MN VETERANS HOME MINNEAPOLIS,Hennepin,MN,Government,245620
MOUNT OLIVET CAREVIEW HOME,Hennepin,MN,Non profit,245071
NORTH RIDGE HEALTH AND REHAB,Hennepin,MN,For profit,245183
PRESBYTERIAN HOMES OF BLOOMINGTON,Hennepin,MN,For profit,245556
PROVIDENCE PLACE,Hennepin,MN,Non profit,245271
ROBBINSDALE A VILLA CENTER,Hennepin,MN,For profit,245417
SAINT THERESE AT OXBOW LAKE,Hennepin,MN,Non profit,245619
SHOLOM HOME WEST,Hennepin,MN,Non profit,245574
ST THERESE HOME,Hennepin,MN,Non profit,245518
TEXAS TERRACE A VILLA CENTER,Hennepin,MN,For profit,245187
THE BIRCHES AT TRILLIUM WOODS,Hennepin,MN,For profit,245627
THE ESTATES AT CHATEAU LLC,Hennepin,MN,For profit,245222
THE ESTATES AT EXCELSIOR LLC,Hennepin,MN,For profit,245332
THE ESTATES AT ST LOUIS PARK LLC,Hennepin,MN,For profit,245148
THE VILLA AT BRYN MAWR,Hennepin,MN,For profit,245203
THE VILLA AT OSSEO,Hennepin,MN,For profit,245629
THE VILLA AT ST LOUIS PARK,Hennepin,MN,For profit,245182
VICTORY HEALTH & REHABILITATION CENTER,Hennepin,MN,For profit,245544
WALKER METHODIST HEALTH CENTER,Hennepin,MN,Non profit,245055
THE EMERALDS AT GRAND RAPIDS LLC,Itasca,MN,For profit,245495
GOOD SAMARITAN SOCIETY - JACKSON,Jackson,MN,Non profit,245455
ST CLARE LIVING COMMUNITY OF MORA,Kanabec,MN,Non profit,245291
BETHESDA,Kandiyohi,MN,Non profit,245427
GLENOAKS SENIOR LIVING CAMPUS,Kandiyohi,MN,Non profit,245360
GOOD SAMARITAN SOCIETY - INTERNATIONAL FALLS,Koochiching,MN,Non profit,245318
MAHNOMEN HEALTH CENTER,Mahnomen,MN,Government,245238
"MEEKER MANOR REHABILITATION CENTER, LLC",Meeker,MN,For profit,245361
MAPLE LAWN SENIOR CARE,Murray,MN,Non profit,245570
PARKVIEW MANOR NURSING HOME,Nobles,MN,Government,245553
SOUTH SHORE CARE CENTER,Nobles,MN,For profit,245596
CHARTER HOUSE,Olmsted,MN,Non profit,245282
MADONNA TOWERS OF ROCHESTER INC,Olmsted,MN,Non profit,245153
ROCHESTER EAST HEALTH SERVICES,Olmsted,MN,For profit,245184
ROCHESTER REHABILITATION AND LIVING CENTER,Olmsted,MN,Non profit,245626
PIONEER MEMORIAL CARE CENTER,Polk,MN,Non profit,245301
BENEDICTINE HEALTH CENTER INNSBRUCK,Ramsey,MN,Non profit,245310
CAPITOL VIEW TRANSITIONAL CARE CENTER,Ramsey,MN,Non profit,245534
CARONDELET VILLAGE CARE CENTER,Ramsey,MN,Non profit,245617
CERENITY CARE CENTER ON HUMBOLDT,Ramsey,MN,Non profit,245255
GALTIER A VILLA CENTER,Ramsey,MN,For profit,245340
LYNGBLOMSTEN CARE CENTER,Ramsey,MN,Non profit,245347
NEW BRIGHTON A VILLA CENTER,Ramsey,MN,For profit,245164
NEW BRIGHTON CARE CENTER,Ramsey,MN,For profit,245421
PRESBYTERIAN HOMES OF ARDEN HILLS,Ramsey,MN,Non profit,245424
PRESBYTERIAN HOMES OF NORTH OAKS,Ramsey,MN,Non profit,245613
RAMSEY COUNTY CARE CENTER,Ramsey,MN,Government,245352
ROSE OF SHARON A VILLA CENTER,Ramsey,MN,For profit,245326
SHIRLEY CHAPMAN SHOLOM HOME EAST,Ramsey,MN,Non profit,245411
THE EMERALDS AT ST PAUL LLC,Ramsey,MN,For profit,245295
THE ESTATES AT ROSEVILLE LLC,Ramsey,MN,For profit,245105
NORTHFIELD CARE CENTER INC,Rice,MN,Non profit,245561
GOOD SAMARITAN SOCIETY - MARY JANE BROWN,Rock,MN,Non profit,245568
GUARDIAN ANGELS CARE CENTER,Sherburne,MN,Non profit,245012
ST BENEDICTS SENIOR COMMUNITY,Sherburne,MN,Non profit,245350
CENTRACARE HEALTH SYSTEM - MELROSE PINE VILLA C C,Stearns,MN,Non profit,245396
CENTRACARE HEALTH SYSTEM-SAUK CENTRE NURSING HOME,Stearns,MN,Non profit,245341
STERLING PARK HEALTH CARE CENTER,Stearns,MN,For profit,245375
CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,Todd,MN,Non profit,245244
ST ELIZABETH MEDICAL CENTER,Wabasha,MN,Non profit,245487
GABLES OF BOUTWELLS LANDING,Washington,MN,Non profit,245615
NORRIS SQUARE,Washington,MN,Non profit,245637
ST THERESE OF WOODBURY LLC,Washington,MN,Non profit,245632
WOODBURY HEALTH CARE CENTER,Washington,MN,Non profit,245235
ST FRANCIS HOME,Wilkin,MN,Non profit,245265
SAUER HEALTH CARE,Winona,MN,Non profit,245102
PARK VIEW CARE CENTER,Wright,MN,Non profit,245474
THE ESTATES AT DELANO LLC,Wright,MN,For profit,245336
GRANDVIEW HEALTHCARE CENTER,Franklin,MO,For profit,265374
FRONTIER HEALTH & REHABILITATION,St. Charles,MO,For profit,265118
DELMAR GARDENS NORTH,St. Louis,MO,For profit,265325
LIFE CARE CENTER OF ST LOUIS,St. Louis City,MO,For profit,265610
DIVERSICARE OF AMORY,Monroe,MS,For profit,255119
"CARRINGTON, LLC D/B/A THE CARRINGTON",Oktibbeha,MS,For profit,255301
MS CARE CENTER OF RALEIGH,Smith,MS,For profit,255342
"TUNICA COUNTY HEALTH & REHAB, LLC",Tunica,MS,For profit,255334
MARIAS CARE CENTER,Toole,MT,For profit,275061
"PEAK RESOURCES - ALAMANCE, INC",Alamance,NC,For profit,345337
WHITE OAK MANOR - BURLINGTON,Alamance,NC,For profit,345301
WADESBORO HEALTH & REHAB CENTER,Anson,NC,For profit,345392
